# time(us)	tip(nm)	Fts(nN)	Xb(nm)
1.855557784850606549e+04	-2.700012703911948364e+01	-6.379710033076145797e-04	-4.965867680211961499e+01
1.855560034850605371e+04	-2.696812094365720114e+01	-6.363444821123727608e-04	-4.965585284260772170e+01
1.855562249136318496e+04	-2.693736628612008843e+01	-6.347907960320883216e-04	-4.965307820366938785e+01
1.855564463422031622e+04	-2.690733144706544522e+01	-6.332823001439658733e-04	-4.965030800416168688e+01
1.855566677707744748e+04	-2.687799911493973681e+01	-6.318175934564152071e-04	-4.964754222389179006e+01
1.855568891993457873e+04	-2.684935245212302490e+01	-6.303953287347762282e-04	-4.964478084278568559e+01
1.855571141993456695e+04	-2.682092948144197564e+01	-6.289922779537728296e-04	-4.964197940889121696e+01
1.855573356279169820e+04	-2.679361710599861723e+01	-6.276517585897525495e-04	-4.963922683651218648e+01
1.855575570564882946e+04	-2.676694472914107337e+01	-6.263500480501990380e-04	-4.963647860346192431e+01
1.855577784850596072e+04	-2.674089956364152343e+01	-6.250861139801455919e-04	-4.963373469013471606e+01
1.855580034850594529e+04	-2.671506511410928297e+01	-6.238395269703829677e-04	-4.963095092486302917e+01
1.855582249136307655e+04	-2.669025165009632516e+01	-6.226490188376139446e-04	-4.962821566150934416e+01
1.855584463422020781e+04	-2.666603612703388038e+01	-6.214937841441551874e-04	-4.962548465943472564e+01
1.855586677707733907e+04	-2.664241227898359199e+01	-6.203732082933965464e-04	-4.962275789948765237e+01
1.855588891993447032e+04	-2.661937566287395285e+01	-6.192867868220877691e-04	-4.962003536262774617e+01
1.855591141993445854e+04	-2.659656633836032569e+01	-6.182174215594954348e-04	-4.961727322019645925e+01
1.855593356279158979e+04	-2.657470766323219635e+01	-6.171987709828716294e-04	-4.961455914018127089e+01
1.855595570564872105e+04	-2.655343396215841523e+01	-6.162134097200464141e-04	-4.961184922648897100e+01
1.855597784850585231e+04	-2.653274807346518571e+01	-6.152612582508058077e-04	-4.960914346051678336e+01
1.855600034850584052e+04	-2.651233529457710603e+01	-6.143277832035670119e-04	-4.960639828271862228e+01
1.855602249136297178e+04	-2.649284979748771462e+01	-6.134427240570378094e-04	-4.960370082295937522e+01
1.855604463422010303e+04	-2.647397026859533042e+01	-6.125911801968111437e-04	-4.960100745545691581e+01
1.855606677707723429e+04	-2.645570545149094244e+01	-6.117734071957014455e-04	-4.959831816203354293e+01
1.855608891993436555e+04	-2.643806516357033942e+01	-6.109897218448139987e-04	-4.959563292461559314e+01
1.855611141993435376e+04	-2.642079109051141828e+01	-6.102286917996974829e-04	-4.959290851307262216e+01
1.855613356279148502e+04	-2.640444312993930609e+01	-6.095148894810962191e-04	-4.959023139855188589e+01
1.855615570564861628e+04	-2.638875373667479352e+01	-6.088363913203225777e-04	-4.958755828614589234e+01
1.855617784850574753e+04	-2.637373490908624163e+01	-6.081936482214871575e-04	-4.958488915819098963e+01
1.855620034850573575e+04	-2.635917302864078238e+01	-6.075776309658660222e-04	-4.958218104306575214e+01
1.855622249136286700e+04	-2.634554219524342145e+01	-6.070083471211723276e-04	-4.957951989498035772e+01
1.855624463421999826e+04	-2.633261684823860449e+01	-6.064761495540906813e-04	-4.957686267867480723e+01
1.855626677707712952e+04	-2.632040732086339929e+01	-6.059814293120363441e-04	-4.957420937688397089e+01
1.855628891993426078e+04	-2.630892292429174972e+01	-6.055245326931831549e-04	-4.957155997244034040e+01
1.855631141993424899e+04	-2.629800435877043441e+01	-6.050993092243267014e-04	-4.956887181023220990e+01
1.855633356279138025e+04	-2.628800491312258814e+01	-6.047194845182851750e-04	-4.956623021153971820e+01
1.855635570564851150e+04	-2.627875023653587760e+01	-6.043781474617003274e-04	-4.956359245899869137e+01
1.855637784850564276e+04	-2.627024336364773660e+01	-6.040753593467441257e-04	-4.956095853582644395e+01
1.855640034850563097e+04	-2.626236630885096801e+01	-6.038071408140309416e-04	-4.955828603534945387e+01
1.855642249136276223e+04	-2.625536794883975844e+01	-6.035818719114740714e-04	-4.955565978203482302e+01
1.855644463421989349e+04	-2.624911373533176473e+01	-6.033947447855915339e-04	-4.955303730803829865e+01
1.855646677707702474e+04	-2.624359781204886488e+01	-6.032454085861678039e-04	-4.955041859695172946e+01
1.855648891993415600e+04	-2.623881187773642054e+01	-6.031333982103830168e-04	-4.954780363245865260e+01
1.855651141993414421e+04	-2.623468537988489402e+01	-6.030572156033604109e-04	-4.954515031213398402e+01
1.855653356279127547e+04	-2.623133584346174629e+01	-6.030185701464755828e-04	-4.954254285201708541e+01
1.855655570564840673e+04	-2.622867621500159174e+01	-6.030151407028993497e-04	-4.953993908982985772e+01
1.855657784850553799e+04	-2.622668828587679712e+01	-6.030459950643868696e-04	-4.953733900961777437e+01
1.855660034850552620e+04	-2.622533515613447364e+01	-6.031113893096552931e-04	-4.953470074782330812e+01
1.855662249136265746e+04	-2.622463666748474864e+01	-6.032080799867823228e-04	-4.953210804279922286e+01
