# amp_ratio	peakF(nN)	maxdepth(nm)	phase(deg)	Ediss(aJ)	Ediss_Tamayo(aJ)	Vts(aJ)	Vts_lozano(aJ)
2.060532756087567457e-03	1.654667820734038131e+01	-1.441761242655908104e+00	5.579428778320301774e+01	2.271946038378625943e+01	2.272019233096918356e+01	9.900792257003858676e-01	-2.464118473761053085e+00
2.181568536421733037e-03	1.454208089465376652e+01	-1.526152344940104433e+00	5.579770535224785277e+01	2.403522417952679646e+01	2.405222584991176404e+01	-1.570404978257222917e+00	-2.608631963075418891e+00
2.327158927747901684e-03	1.265346536169473879e+01	-1.627728905041216922e+00	5.580198910641449572e+01	2.561984440371965732e+01	2.565416743148957224e+01	-2.710529527637404623e+00	-2.782416980077455637e+00
5.192652274705964431e-03	2.974428811435884157e+01	-2.496706526803067039e+00	7.680204971329018804e+01	6.706763877758956482e+01	6.721079040960259476e+01	-2.299011719062684644e+00	-2.521989543228698505e+00
1.833575153277404793e-02	4.447945526651902526e+01	-3.148978932859927138e+00	3.715759856130826222e+01	1.426606681200372861e+02	1.435330599420364024e+02	-2.799015075393088026e+01	-3.108581011955609696e+01
3.767430569926835671e-02	5.279817196466122908e+01	-3.178951191699430190e+00	2.278118901221348480e+01	1.802960611139883156e+02	1.760102189478244270e+02	-7.070616940899523684e+01	-7.389060769703361586e+01
6.164810660746005561e-02	6.470572344933202658e+01	-3.270947088481468423e+00	1.868420358922546143e+01	2.124014876802263245e+02	2.131669695049798747e+02	-1.191800307478537633e+02	-1.242293661794410440e+02
8.741778645387490720e-02	7.536434161022964417e+01	-3.364494381835366976e+00	1.767748923440738196e+01	2.577075014068756786e+02	2.526592806677823262e+02	-1.742670802799028422e+02	-1.771782648562751490e+02
1.139158045630516425e-01	8.470396665336828335e+01	-3.510432680134298433e+00	1.783195229845843244e+01	3.002493410796586772e+02	2.928089204993915473e+02	-2.280452634030905585e+02	-2.306852013146205707e+02
1.407120873443011289e-01	9.356165186050274940e+01	-3.633601589200909032e+00	1.839545747749821913e+01	3.315711746788211940e+02	3.288695278816587120e+02	-2.780555862100623017e+02	-2.840337454867783435e+02
1.677190769731675413e-01	9.993802112679190941e+01	-3.738393269604756597e+00	1.914992540906573026e+01	3.536012295542392962e+02	3.593960634723484873e+02	-3.192748997794611228e+02	-3.370366902774094342e+02
1.949054791739401327e-01	1.073142185040547076e+02	-3.807844743674016375e+00	2.005440993059595911e+01	4.116895074322088703e+02	3.855701579820800475e+02	-3.827646013491702206e+02	-3.894728150420125985e+02
2.222161123144374695e-01	1.114143102734304023e+02	-3.880362656402387422e+00	2.108674278971160376e+01	4.173428173316872858e+02	4.085831060489947504e+02	-4.285872435519703458e+02	-4.410541745316391484e+02
2.495951313250634740e-01	1.185311051917058194e+02	-3.942080682110466583e+00	2.222291880863249602e+01	4.435539341879708104e+02	4.290703749042188520e+02	-4.826917709347610526e+02	-4.915108132119204924e+02
2.769993328964224233e-01	1.209037890028322266e+02	-3.939610133954603466e+00	2.344234303650852169e+01	4.752175877400447348e+02	4.473414043396377906e+02	-5.397319118608654662e+02	-5.406097703938900167e+02
3.043991186231898571e-01	1.278088790062092670e+02	-4.030323709401240961e+00	2.472943765298514052e+01	4.342792535168753147e+02	4.635502286866199029e+02	-5.530986156074164910e+02	-5.881487081112483111e+02
3.317743131315836758e-01	1.285987004508700409e+02	-4.047891320301451934e+00	2.607287982210722177e+01	5.240453466682040471e+02	4.777670107498302627e+02	-6.339983786558485690e+02	-6.339437040630110687e+02
3.591095687561708938e-01	1.353501720303655134e+02	-4.032233432895846015e+00	2.746473015754381564e+01	4.833426637305960867e+02	4.900271607178858062e+02	-6.576769977948736141e+02	-6.778171936525943693e+02
3.863936003368659833e-01	1.345856176643404467e+02	-4.107761078752483641e+00	2.889943383831379009e+01	5.524293697859988015e+02	5.003364362364669091e+02	-7.250091430701519357e+02	-7.195955396945347502e+02
4.136168314425981429e-01	1.412687513336686322e+02	-4.081491715753966965e+00	3.037327682721084798e+01	5.274190061424347959e+02	5.086890694692889383e+02	-7.412435593014289452e+02	-7.591027801501348904e+02
4.407712874471180209e-01	1.390957135804947313e+02	-4.122178897765336636e+00	3.188392348219869277e+01	5.581187112888474076e+02	5.150689527263887157e+02	-8.006684099911293515e+02	-7.961592494188322462e+02
4.678491107181743103e-01	1.456220979421113100e+02	-4.124759434906298594e+00	3.343017419030981330e+01	5.602931740288705669e+02	5.194620942654380542e+02	-8.234159239180860368e+02	-8.305769349329583520e+02
4.948430700624096290e-01	1.423703425996843066e+02	-4.099106989381853694e+00	3.501162325113221385e+01	5.327327146644581717e+02	5.218424419856402210e+02	-8.387245742788402367e+02	-8.621601075374830998e+02
5.217456855134983140e-01	1.483960046933382557e+02	-4.131963468437183096e+00	3.662860363113888695e+01	5.787280859384192127e+02	5.221816757600597612e+02	-9.040039217986865197e+02	-8.907015264873052729e+02
5.485487640770309037e-01	1.446331739408790611e+02	-4.048507390129747030e+00	3.828215229110180218e+01	4.786681129748295689e+02	5.204560677935675130e+02	-8.419709774981662349e+02	-9.159791338625429944e+02
5.752442040765785025e-01	1.494207710043123143e+02	-4.108032594716791053e+00	3.997378934238937376e+01	5.889805936636994375e+02	5.166222817574682722e+02	-9.633223036250833502e+02	-9.377573200605769443e+02
6.018219113398701747e-01	1.460064298303800285e+02	-4.010742992069954660e+00	4.170574342593631911e+01	5.167050514459971282e+02	5.106517986226311336e+02	-9.071805859387270630e+02	-9.557779674036513597e+02
6.282716868340003646e-01	1.481861873496799547e+02	-4.057429704020350414e+00	4.348079249993399031e+01	5.752355913044759745e+02	5.024978807139258947e+02	-9.921511200327922779e+02	-9.697625859217221205e+02
6.545809236371769035e-01	1.463760272130706142e+02	-3.938743887116049169e+00	4.530237622198911396e+01	5.403976670528629711e+02	4.921140478299940355e+02	-9.690134021042159702e+02	-9.794039507952040822e+02
6.807355127495379188e-01	1.433501439059376423e+02	-3.980724290333465643e+00	4.717469922030457496e+01	4.680481135324410502e+02	4.794453701370851491e+02	-9.394722797240023056e+02	-9.843623081601098193e+02
7.067188845074903192e-01	1.449695175879288911e+02	-3.827515567237934402e+00	4.910285489810411264e+01	5.518755146935840230e+02	4.644294222736275515e+02	-1.002538533202385338e+03	-9.842575227318241105e+02
7.325107060795597036e-01	1.354114132982984984e+02	-3.868904632173156166e+00	5.109299437302929192e+01	4.493130221987332789e+02	4.469984695705094850e+02	-9.500657164562169328e+02	-9.786592130903460429e+02
7.580869448837438407e-01	1.394097493338697689e+02	-3.746004577037053362e+00	5.315257300633810189e+01	4.930267777821222239e+02	4.270675984632457585e+02	-9.514053647352228609e+02	-9.670761908981976376e+02
7.834177798752737232e-01	1.348667118459932226e+02	-3.690502117484101507e+00	5.529075627469184440e+01	4.783991018014022529e+02	4.045434315531635434e+02	-9.829695490747729991e+02	-9.489378577050572403e+02
8.084652816398461006e-01	1.229990308711995368e+02	-3.629411522077883312e+00	5.751888848117531694e+01	4.009360788634090227e+02	3.793203641461201414e+02	-8.756511605560963289e+02	-9.235718701138355300e+02
8.331815314558198571e-01	1.265636607861762002e+02	-3.409521486290742143e+00	5.985123572001121062e+01	3.369877904724700102e+02	3.512663549859407226e+02	-8.342846292236130239e+02	-8.901731704697972418e+02
8.575029112630436767e-01	1.212769322703471033e+02	-3.384252157947487571e+00	6.230614030880110477e+01	3.985909552225664925e+02	3.202341642671731847e+02	-8.797878410653270294e+02	-8.477542194650096690e+02
8.813426644836773738e-01	1.109648958364106051e+02	-3.272701844349930056e+00	6.490765808252081115e+01	3.692516636050839338e+02	2.860496873134995894e+02	-7.950944858195090319e+02	-7.950758160039804352e+02
9.045783861786804714e-01	9.838682872001952262e+01	-3.062918784447855813e+00	6.768833166099605592e+01	2.999265125422554661e+02	2.485082506139110308e+02	-7.411764399491397626e+02	-7.305349806281209339e+02
9.270277403917860370e-01	8.916267330623855969e+01	-2.794075761067665198e+00	7.069373269798541060e+01	2.411577748119207456e+02	2.073811053073672497e+02	-6.608814297615117539e+02	-6.519831201053477798e+02
9.484007059735813927e-01	7.790345949575537077e+01	-2.514189581040093380e+00	7.399036484539398373e+01	1.987448365961808747e+02	1.624408347061699658e+02	-5.693318158895380066e+02	-5.564192869802615178e+02
9.681922449268417497e-01	6.403407818324650691e+01	-2.215575378352119262e+00	7.767953499632875491e+01	1.610647120982085028e+02	1.135831533497109831e+02	-4.660107959768089927e+02	-4.394724087673783970e+02
9.854034609201411943e-01	5.170584192094760567e+01	-1.889009623716877195e+00	8.191652541011413291e+01	5.915688645714426031e+01	6.138631235475494918e+01	-2.572499954562966877e+02	-2.947578989421031679e+02
9.977137761986002440e-01	2.021162975669696849e+01	-1.282610272067070678e+00	8.684533276211590191e+01	3.764616371239397807e+01	1.027942194342129767e+01	-1.228470283740870030e+02	-1.167979057885640515e+02
