# time(us)	tip(nm)	Fts(nN)	Xb(nm)
1.855557784850606549e+04	6.629347290079391541e+01	-2.710705141039520077e-05	-4.440025409569064863e+01
1.855560034850605371e+04	6.643292477115267047e+01	-2.704025669742463715e-05	-4.439764032893931045e+01
1.855562249136318496e+04	6.656773959849755329e+01	-2.697593691803626214e-05	-4.439507239619782553e+01
1.855564463422031622e+04	6.670012925003459259e+01	-2.691301701796571907e-05	-4.439250875432212240e+01
1.855566677707744748e+04	6.683007049199737537e+01	-2.685149483358456338e-05	-4.438994938352019659e+01
1.855568891993457873e+04	6.695753771040968161e+01	-2.679136954140450078e-05	-4.438739426411727607e+01
1.855571141993456695e+04	6.708449776415879739e+01	-2.673170590018898493e-05	-4.438480226777834048e+01
1.855573356279169820e+04	6.720688927279887537e+01	-2.667439988682914081e-05	-4.438225566039740499e+01
1.855575570564882946e+04	6.732671482818611253e+01	-2.661849636870094150e-05	-4.437971324577556942e+01
1.855577784850596072e+04	6.744393920586982460e+01	-2.656399978342081938e-05	-4.437717500470026266e+01
1.855580034850594529e+04	6.756035130153765067e+01	-2.651007117606013440e-05	-4.437460007964614306e+01
1.855582249136307655e+04	6.767221547684944483e+01	-2.645842940230328221e-05	-4.437207019502297811e+01
1.855584463422020781e+04	6.778135958382210902e+01	-2.640821480865751376e-05	-4.436954442667908438e+01
1.855586677707733907e+04	6.788774066389539996e+01	-2.635943606019066154e-05	-4.436702275585014377e+01
1.855588891993447032e+04	6.799131440967332196e+01	-2.631210259854891413e-05	-4.436450516388132570e+01
1.855591141993445854e+04	6.809363636348517446e+01	-2.626549652190632007e-05	-4.436195112456432810e+01
1.855593356279158979e+04	6.819141149176087424e+01	-2.622110811511410580e-05	-4.435944169982636254e+01
1.855595570564872105e+04	6.828624060483197411e+01	-2.617819676392551875e-05	-4.435693629833824758e+01
1.855597784850585231e+04	6.837807720896378783e+01	-2.613677358260163086e-05	-4.435443490187685001e+01
1.855600034850584052e+04	6.846828225210278163e+01	-2.609621811972842747e-05	-4.435189724409704581e+01
1.855602249136297178e+04	6.855394611320906506e+01	-2.605782898648665230e-05	-4.434940386730831818e+01
1.855604463422010303e+04	6.863648106569050356e+01	-2.602096099584570358e-05	-4.434691444121886406e+01
1.855606677707723429e+04	6.871584449015111318e+01	-2.598562434102287747e-05	-4.434442894802460700e+01
1.855608891993436555e+04	6.879199572997040946e+01	-2.595182857379800886e-05	-4.434194737002395925e+01
1.855611141993435376e+04	6.886604546302554297e+01	-2.591907509128949649e-05	-4.433942975887251237e+01
1.855613356279148502e+04	6.893560687388463748e+01	-2.588841158626338623e-05	-4.433695602099981414e+01
1.855615570564861628e+04	6.900184923872015474e+01	-2.585931233370290485e-05	-4.433448614554355771e+01
1.855617784850574753e+04	6.906474355887274896e+01	-2.583178279740519845e-05	-4.433202011520624097e+01
1.855620034850573575e+04	6.912519683428816109e+01	-2.580542136463209778e-05	-4.432951823112096434e+01
1.855622249136286700e+04	6.918126844211950299e+01	-2.578106758459408233e-05	-4.432705990084910042e+01
1.855624463421999826e+04	6.923392836150914320e+01	-2.575829139464622203e-05	-4.432460536412055774e+01
1.855626677707712952e+04	6.928316423007764513e+01	-2.573709223197357196e-05	-4.432215460403055829e+01
1.855628891993426078e+04	6.932896836540234631e+01	-2.571746783118943863e-05	-4.431970760377045337e+01
1.855631141993424899e+04	6.937199314068782030e+01	-2.569913582926985495e-05	-4.431722496983536530e+01
1.855633356279138025e+04	6.941087480316339509e+01	-2.568267230036036389e-05	-4.431478549915908616e+01
1.855635570564851150e+04	6.944633107201879341e+01	-2.566776597695314367e-05	-4.431234973819056222e+01
1.855637784850564276e+04	6.947837400183087198e+01	-2.565440743209992472e-05	-4.430991767050031171e+01
1.855640034850563097e+04	6.950745489950161016e+01	-2.564240730689966371e-05	-4.430745014220021005e+01
1.855642249136276223e+04	6.953267272417102163e+01	-2.563213342374986005e-05	-4.430502547105903943e+01
1.855644463421989349e+04	6.955454303595303145e+01	-2.562336828682799049e-05	-4.430260444420163424e+01
1.855646677707702474e+04	6.957309700440788447e+01	-2.561609562029659287e-05	-4.430018704556719911e+01
1.855648891993415600e+04	6.958837013605067057e+01	-2.561029761758316648e-05	-4.429777325918509234e+01
