# time(us)	tip(nm)	Fts(nN)	Xb(nm)
2.968889248550312186e+04	-4.454493943201916295e+01	-5.802149559414636615e-01	-4.510352344924805834e+01
2.968889605693169142e+04	-4.453867165333635825e+01	-5.722550542007102115e-01	-4.510250960562236600e+01
2.968889962836026098e+04	-4.453239748769030371e+01	-5.644445047928327019e-01	-4.510149842161851552e+01
2.968890319978883053e+04	-4.452611722825938045e+01	-5.567801692175256001e-01	-4.510048987457318503e+01
2.968890677121740009e+04	-4.451983117066089335e+01	-5.492589810804373585e-01	-4.509948394214310952e+01
2.968891034264596965e+04	-4.451353961291960104e+01	-5.418779443775969540e-01	-4.509848060229957412e+01
2.968891391407453921e+04	-4.450724285543559944e+01	-5.346341318186020874e-01	-4.509747983332346877e+01
2.968891748550310876e+04	-4.450094120095143779e+01	-5.275246831894849775e-01	-4.509648161379983122e+01
2.968892105693167832e+04	-4.449463495451860950e+01	-5.205468037526556069e-01	-4.509548592261320721e+01
2.968892462836024788e+04	-4.448832442346326133e+01	-5.136977626851620959e-01	-4.509449273894238530e+01
2.968892819978881744e+04	-4.448200991735131993e+01	-5.069748915527323430e-01	-4.509350204225581393e+01
2.968893177121738699e+04	-4.447569174795285107e+01	-5.003755828203593214e-01	-4.509251381230667022e+01
2.968893534264595655e+04	-4.446937022920585036e+01	-4.938972883977641448e-01	-4.509152802912825564e+01
2.968893891407452611e+04	-4.446304567717924527e+01	-4.875375182193709689e-01	-4.509054467302935620e+01
2.968894248550309567e+04	-4.445671841003539981e+01	-4.812938388580736970e-01	-4.508956372458976603e+01
2.968894605693166523e+04	-4.445038874799184470e+01	-4.751638721721460068e-01	-4.508858516465579669e+01
2.968894962836023478e+04	-4.444405701328243197e+01	-4.691452939843948622e-01	-4.508760897433589321e+01
2.968895319978880434e+04	-4.443772353011790699e+01	-4.632358327929443353e-01	-4.508663513499647735e+01
2.968895677121737390e+04	-4.443138862464573435e+01	-4.574332685132782017e-01	-4.508566362825752805e+01
2.968896034264594346e+04	-4.442505262490947615e+01	-4.517354312502749325e-01	-4.508469443598860948e+01
2.968896391407451301e+04	-4.441871586080745260e+01	-4.461402001000950301e-01	-4.508372754030472151e+01
2.968896748550308257e+04	-4.441237866405086976e+01	-4.406455019810940343e-01	-4.508276292356222825e+01
2.968897105693165213e+04	-4.440604136812135749e+01	-4.352493104928281675e-01	-4.508180056835507798e+01
2.968897462836022169e+04	-4.439970430822794611e+01	-4.299496448031152607e-01	-4.508084045751078150e+01
2.968897819978879124e+04	-4.439336782126348169e+01	-4.247445685618601030e-01	-4.507988257408672439e+01
2.968898177121736080e+04	-4.438703224576046580e+01	-4.196321888415562862e-01	-4.507892690136634428e+01
2.968898534264593036e+04	-4.438069792184642637e+01	-4.146106551035202981e-01	-4.507797342285552133e+01
