# amp_ratio	peakF(nN)	maxdepth(nm)	phase(deg)	Ediss(aJ)	Ediss_Tamayo(aJ)	Vts(aJ)	Vts_lozano(aJ)
1.540462962968900014e-02	3.512765217098352544e+00	-3.389819609597897188e-01	9.343549666317743174e+01	2.861756615671031234e+00	3.554604306369694822e+00	-1.406661524069243342e+03	3.449480110973372066e-02
1.571238527604591068e-02	3.211789780643147019e+00	-3.457466850141067138e-01	9.344606258897088935e+01	2.918165304722249331e+00	3.624442478463634210e+00	-1.475068794852745896e+03	3.529202110190553243e-02
9.030324010075067853e-02	2.194613718736963293e+01	-6.431351185018560068e-01	8.801088111384400747e+01	1.389813055140346698e+01	1.927470941187852915e+01	1.006406418109041056e+03	-1.171250938292399679e-01
1.150101379945818736e-01	2.430684371117303044e+01	-6.654624968137894392e-01	8.391019741322475056e+01	1.570906615033524467e+01	2.374498419706203478e+01	1.045589794662314489e+03	-4.559260954317425618e-01
1.470211893780236923e-01	2.657613661933646299e+01	-6.851605833371123833e-01	8.040117404500458065e+01	1.742176568437241357e+01	2.896051378007843269e+01	1.043303472646277896e+03	-9.160891325495793547e-01
1.857455220568141885e-01	2.864628356865257786e+01	-7.015443934422666006e-01	7.808554575595270819e+01	1.896573512975364650e+01	3.457077246166086582e+01	1.012626362656264178e+03	-1.432950412260793449e+00
2.315573607916826537e-01	3.053182335556111582e+01	-7.151704869994734981e-01	7.700494684997612183e+01	2.035948886053104445e+01	4.038544637178625862e+01	9.594579623907145560e+02	-1.945718146497137369e+00
2.839220098832425654e-01	3.218680763852357529e+01	-7.260933376969839204e-01	7.706323998839221190e+01	2.152659162806913784e+01	4.604277230079501493e+01	8.939914909535276593e+02	-2.375206128567115549e+00
3.414323462549652133e-01	3.354608904025039351e+01	-7.341562993082259014e-01	7.809868872905397552e+01	2.243093814880565873e+01	5.107033962762533719e+01	8.209366261518961210e+02	-2.631146642108107780e+00
4.021876301711923007e-01	3.454712006358585086e+01	-7.380763414995645810e-01	7.990708771642950126e+01	2.299695132681346976e+01	5.498938853936601845e+01	7.432580089993207366e+02	-2.633722069987480818e+00
4.642278810950782875e-01	3.515299817090986778e+01	-7.384474632556099483e-01	8.229393480057424881e+01	2.318846759678573477e+01	5.741218448033055211e+01	6.635852261080626704e+02	-2.326091995202777873e+00
5.258029973697531112e-01	3.534728710829353560e+01	-7.348237038386917774e-01	8.509327350368678822e+01	2.299440445973041491e+01	5.808822236237534753e+01	5.840271700678192701e+02	-1.680571711097649912e+00
5.855676850579235593e-01	3.513892982621026562e+01	-7.274785443902298532e-01	8.817635131099962109e+01	2.245528127529798113e+01	5.690825201866717720e+01	5.058757115325500990e+02	-6.963347519904696803e-01
6.425270981379315183e-01	3.454097588694774146e+01	-7.161735262299918636e-01	9.144864654718624308e+01	2.157793552349366450e+01	5.387927224792124292e+01	4.308488391554763552e+02	6.069888754283999655e-01
6.959812041456597820e-01	3.357450923029337275e+01	-7.015290382197253427e-01	9.484118608623454350e+01	2.037632443188696385e+01	4.909611675354810245e+01	3.594627533685491017e+02	2.194853418326345285e+00
7.454517282380200838e-01	3.226898779927039129e+01	-6.833187652149700364e-01	9.830640227188284541e+01	1.898580301007429938e+01	4.271575232746857154e+01	2.933388895964764629e+02	4.024234152525396624e+00
7.906144508870793786e-01	3.065014856593132109e+01	-6.613095940792904637e-01	1.018072822981733339e+02	1.735501355667227230e+01	3.493993939680004246e+01	2.329886137535414150e+02	6.045184585599450600e+00
8.312436412547457021e-01	2.874184685441451848e+01	-6.365926590168619059e-01	1.053157195608368397e+02	1.557834727488394044e+01	2.600416813907556346e+01	1.787696422457410961e+02	8.204543800133833997e+00
8.672475511544853743e-01	2.657330241857795272e+01	-6.087538981898193979e-01	1.088135218017900314e+02	1.369830684517560648e+01	1.615222000478280506e+01	1.315156961095521240e+02	1.045090424637577620e+01
8.985387228742937049e-01	2.417147907218407710e+01	-5.779300288747455383e-01	1.122782967274813757e+02	1.177436494958408097e+01	5.656981899173361583e+00	9.025022316580789550e+01	1.272895727677703270e+01
9.251110473922353750e-01	2.156082787272907453e+01	-5.438497779092383855e-01	1.156894688752315687e+02	9.851422101621485794e+00	-5.202997056704488976e+00	5.846095777343882816e+01	1.498553202388560202e+01
9.470201280627101870e-01	1.876952876361518108e+01	-5.072284057312259620e-01	1.190255682935164998e+02	7.971913702390579282e+00	-1.614627201218081964e+01	3.301978053438160998e+01	1.717021128894467097e+01
9.643915319214879656e-01	1.583267131491556512e+01	-4.674900340456894510e-01	1.222611781162921432e+02	6.172223804821540760e+00	-2.689229317150081400e+01	1.490954908152267500e+01	1.923583457625726467e+01
9.774266034727496777e-01	1.277416424156540131e+01	-4.247421611991554768e-01	1.253641188859926103e+02	4.552588822705122773e+00	-3.716239632362368184e+01	3.990166814483455227e+00	2.113909363489122484e+01
9.864274337245023672e-01	9.628187689400933280e+00	-3.791484413390118213e-01	1.282957917034574962e+02	3.093142862802943149e+00	-4.669208119785761824e+01	-2.318229955819527954e-01	2.284322304014332161e+01
9.918131365255131726e-01	6.434374265320262687e+00	-3.306045952549192535e-01	1.310036951522328934e+02	1.854545129155363403e+00	-5.522313278534128500e+01	1.540919537287486651e+00	2.431648201831923117e+01
9.941489617486867214e-01	3.226597408830437885e+00	-2.786568616280891697e-01	1.334195235250239762e+02	8.700731026780491595e-01	-6.251026970476001310e+01	8.648798120021195857e+00	2.553381498579559405e+01
9.938951275771714666e-01	1.891234537942702465e+00	-2.990135582187649077e-01	1.354183646926882716e+02	1.942279537260691580e-01	-6.813259123417446972e+01	1.953930196158702870e+01	2.645266439894941612e+01
9.928524243760894485e-01	-6.969081042053116865e-04	-1.622845767472562983e-01	1.369470982154024341e+02	-2.188501969109536704e-01	-7.230575029213147786e+01	3.233693099574533392e+01	2.711025749829308040e+01
9.977272765723933512e-01	-6.387546914794931885e-04	-3.513520298390965801e-01	1.336424540560867058e+02	-8.623461369497999185e-02	-6.420126312369717425e+01	2.205452452464206559e+01	2.573089113428146391e+01
9.939949339940343798e-01	-6.844793236664417288e-04	4.149402517750572680e-07	1.359147565719104591e+02	1.561585413202237586e-02	-6.960896307819808726e+01	4.076633674334695456e+01	2.668020236059023276e+01
