# time(us)	tip(nm)	Fts(nN)	Xb(nm)
2.968889248550312186e+04	-6.173026500304142239e+00	-2.428900683928122972e-02	-9.682737485014625278e+00
2.968889605693169142e+04	-6.121179052893373829e+00	-2.362941678407260576e-02	-9.682266519581688158e+00
2.968889962836026098e+04	-6.069050969501827986e+00	-2.299289777271559809e-02	-9.681799198760950631e+00
2.968890319978883053e+04	-6.016644304220426065e+00	-2.237848096601435799e-02	-9.681335468059208083e+00
2.968890677121740009e+04	-5.963961122163867756e+00	-2.178524471735814386e-02	-9.680875273949334670e+00
2.968891034264596965e+04	-5.911003499389848592e+00	-2.121231196792615695e-02	-9.680418563849057634e+00
2.968891391407453921e+04	-5.857773522817828926e+00	-2.065884780204318635e-02	-9.679965286100468802e+00
2.968891748550310876e+04	-5.804273290147413000e+00	-2.012405715186159003e-02	-9.679515389950271498e+00
2.968892105693167832e+04	-5.750504909776325668e+00	-1.960718264134138009e-02	-9.679068825530674047e+00
2.968892462836024788e+04	-5.696470500717972563e+00	-1.910750256023302507e-02	-9.678625543840924550e+00
2.968892819978881744e+04	-5.642172192518592588e+00	-1.862432895944106728e-02	-9.678185496729433623e+00
2.968893177121738699e+04	-5.587612125173993860e+00	-1.815700585977030046e-02	-9.677748636876492228e+00
2.968893534264595655e+04	-5.532792449045903282e+00	-1.770490756663013060e-02	-9.677314917777463776e+00
2.968893891407452611e+04	-5.477715324777916450e+00	-1.726743708380003642e-02	-9.676884293726519815e+00
2.968894248550309567e+04	-5.422382923211027439e+00	-1.684402461984917457e-02	-9.676456719800842876e+00
2.968894605693166523e+04	-5.366797425298789115e+00	-1.643412618125483782e-02	-9.676032151845250340e+00
2.968894962836023478e+04	-5.310961022022065769e+00	-1.603722224667912533e-02	-9.675610546457315664e+00
2.968895319978880434e+04	-5.254875914303383411e+00	-1.565281651725133200e-02	-9.675191860972816471e+00
2.968895677121737390e+04	-5.198544312920923893e+00	-1.528043473805847097e-02	-9.674776053451601854e+00
2.968896034264594346e+04	-5.141968438422082954e+00	-1.491962358637547413e-02	-9.674363082663859359e+00
2.968896391407451301e+04	-5.085150521036681859e+00	-1.456994962247450814e-02	-9.673952908076689283e+00
2.968896748550308257e+04	-5.028092800589782030e+00	-1.423099829913301514e-02	-9.673545489841048450e+00
2.968897105693165213e+04	-4.970797526414125755e+00	-1.390237302622382258e-02	-9.673140788778969323e+00
2.968897462836022169e+04	-4.913266957262173662e+00	-1.358369428701239681e-02	-9.672738766371155705e+00
2.968897819978879124e+04	-4.855503361217818004e+00	-1.327459880301312158e-02	-9.672339384744812918e+00
2.968898177121736080e+04	-4.797509015607690053e+00	-1.297473874446395878e-02	-9.671942606661790620e+00
2.968898534264593036e+04	-4.739286206912105115e+00	-1.268378098367369151e-02	-9.671548395507002738e+00
2.968898891407449992e+04	-4.680837230675664706e+00	-1.240140638867663105e-02	-9.671156715277080096e+00
2.968899248550306947e+04	-4.622164391417402207e+00	-1.212730915479529395e-02	-9.670767530569310821e+00
2.968899605693163903e+04	-4.563270002540719794e+00	-1.186119617187020997e-02	-9.670380806570802790e+00
2.968899962836020859e+04	-4.504156386242820886e+00	-1.160278642505718251e-02	-9.669996509047876998e+00
2.968900319978877815e+04	-4.444825873423869034e+00	-1.135181042722969817e-02	-9.669614604335713182e+00
2.968900677121734770e+04	-4.385280803595818178e+00	-1.110800968114841747e-02	-9.669235059328164184e+00
2.968901034264591726e+04	-4.325523524790821916e+00	-1.087113616967549240e-02	-9.668857841467863423e+00
2.968901391407448682e+04	-4.265556393469340790e+00	-1.064095187242195678e-02	-9.668482918736431841e+00
2.968901748550305638e+04	-4.205381774427880970e+00	-1.041722830731547748e-02	-9.668110259644995708e+00
2.968902105693162594e+04	-4.145002040706445179e+00	-1.019974609567245519e-02	-9.667739833224789692e+00
2.968902462836019549e+04	-4.084419573495575051e+00	-9.988294549443861928e-03	-9.667371609018028167e+00
2.968902819978876505e+04	-4.023636762043107495e+00	-9.782671279388411439e-03	-9.667005557068929278e+00
2.968903177121733461e+04	-3.962656003560606433e+00	-9.582681823002314747e-03	-9.666641647914890001e+00
2.968903534264590417e+04	-3.901479703129441479e+00	-9.388139291105991949e-03	-9.666279852577883247e+00
2.968903891407447372e+04	-3.840110273606566427e+00	-9.198864032055857273e-03	-9.665920142555966876e+00
2.968904248550304328e+04	-3.778550135529961551e+00	-9.014683312610684632e-03	-9.665562489815016534e+00
2.968904605693161284e+04	-3.716801717023741958e+00	-8.835431014541135150e-03	-9.665206866780556183e+00
2.968904962836018240e+04	-3.654867453702989266e+00	-8.660947346125130730e-03	-9.664853246329780490e+00
2.968905319978875195e+04	-3.592749788578279979e+00	-8.491078567722826209e-03	-9.664501601783710427e+00
2.968905677121732151e+04	-3.530451171959854140e+00	-8.325676730672384313e-03	-9.664151906899515865e+00
2.968906034264589107e+04	-3.467974061361533522e+00	-8.164599428793113678e-03	-9.663804135862942957e+00
2.968906391407446063e+04	-3.405320921404297874e+00	-8.007709561823280614e-03	-9.663458263280935157e+00
2.968906748550303018e+04	-3.342494223719623125e+00	-7.854875110160168192e-03	-9.663114264174337720e+00
2.968907105693159974e+04	-3.279496446852449676e+00	-7.705968920305623047e-03	-9.662772113970756749e+00
2.968907462836016930e+04	-3.216330076163931739e+00	-7.560868500455372558e-03	-9.662431788497576335e+00
2.968907819978873886e+04	-3.152997603733862064e+00	-7.419455825702497842e-03	-9.662093263975059187e+00
2.968908177121730841e+04	-3.089501528262806662e+00	-7.281617152355353804e-03	-9.661756517009594702e+00
2.968908534264587797e+04	-3.025844354973988626e+00	-7.147242840899045539e-03	-9.661421524587058940e+00
2.968908891407444753e+04	-2.962028595514904605e+00	-7.016227187155890492e-03	-9.661088264066304276e+00
2.968909248550301709e+04	-2.898056767858633975e+00	-6.888468261225255858e-03	-9.660756713172759191e+00
2.968909605693158665e+04	-2.833931396204888209e+00	-6.763867753806789354e-03	-9.660426849992148846e+00
2.968909962836015620e+04	-2.769655010880827550e+00	-6.642330829533109847e-03	-9.660098652964332899e+00
2.968910319978872576e+04	-2.705230148241572152e+00	-6.523765986958535677e-03	-9.659772100877232148e+00
2.968910677121729532e+04	-2.640659350570506270e+00	-6.408084924870154943e-03	-9.659447172860856412e+00
2.968911034264586488e+04	-2.575945165979281803e+00	-6.295202414605491174e-03	-9.659123848381494071e+00
2.968911391407443443e+04	-2.511090148307605574e+00	-6.185036178078712893e-03	-9.658802107235938905e+00
2.968911748550300399e+04	-2.446096857022763693e+00	-6.077506771233088557e-03	-9.658481929545876810e+00
2.968912105693157355e+04	-2.380967857118916786e+00	-5.972537472653036486e-03	-9.658163295752292044e+00
2.968912462836014311e+04	-2.315705719016143416e+00	-5.870054177082947681e-03	-9.657846186610072436e+00
2.968912819978871266e+04	-2.250313018459251690e+00	-5.769985293614076673e-03	-9.657530583182641237e+00
2.968913177121728222e+04	-2.184792336416382597e+00	-5.672261648313201357e-03	-9.657216466836681334e+00
2.968913534264585178e+04	-2.119146258977358421e+00	-5.576816391078596655e-03	-9.656903819236980269e+00
2.968913891407442134e+04	-2.053377377251824676e+00	-5.483584906520538871e-03	-9.656592622341388932e+00
2.968914248550299089e+04	-1.987488287267162868e+00	-5.392504728674058813e-03	-9.656282858395766056e+00
2.968914605693156045e+04	-1.921481589866208317e+00	-5.303515459361537489e-03	-9.655974509929148297e+00
2.968914962836013001e+04	-1.855359890604732609e+00	-5.216558690032532461e-03	-9.655667559748906115e+00
2.968915319978869957e+04	-1.789125799648720205e+00	-5.131577926916982418e-03	-9.655361990936004446e+00
2.968915677121726912e+04	-1.722781931671471645e+00	-5.048518519336361345e-03	-9.655057786840375300e+00
2.968916034264583868e+04	-1.656330905750482696e+00	-4.967327591025485177e-03	-9.654754931076332980e+00
2.968916391407440824e+04	-1.589775345264134554e+00	-4.887953974324978773e-03	-9.654453407518110097e+00
2.968916748550297780e+04	-1.523117877788181529e+00	-4.810348147111748879e-03	-9.654153200295422010e+00
2.968917105693154735e+04	-1.456361134992079975e+00	-4.734462172341410285e-03	-9.653854293789136065e+00
2.968917462836011691e+04	-1.389507752535111607e+00	-4.660249640082867774e-03	-9.653556672627047419e+00
