# amp_ratio	peakF(nN)	maxdepth(nm)	phase1(deg)	phase2(deg)	Ediss(aJ)	Ediss_Tamayo(aJ)	Vts(aJ)	Vts_lozano(aJ)
4.036486046040178334e-03	2.539175797119520794e+01	-1.610418096707386226e+00	5.789857446396378293e+01	3.858935259734840884e+01	3.427314948081887991e+01	2.313920837520797846e+01	-1.535803054047518046e+00	-4.254603996916666908e+00
4.006913349816653043e-03	2.330730963366011821e+01	-1.798182481743741068e+00	5.767642636921363675e+01	3.853048272475017200e+01	3.667335760066440997e+01	2.446446146168082691e+01	-3.643608992493791998e+00	-4.268513064869779328e+00
4.614097096122519830e-03	2.970243246530374037e+01	-2.156594103636473303e+00	6.205971602836149259e+01	4.112889661983132328e+01	5.390857858982168693e+01	3.329567968261616784e+01	-4.453223647315683209e+00	-4.535665908362753740e+00
6.146559462513903269e-03	4.544834490467552968e+01	-2.708440174747735796e+00	7.050520657056347318e+01	4.266131544688628452e+01	8.595449154866950892e+01	5.451808385494190645e+01	-5.378411023088720100e+00	-4.848716184947240215e+00
1.099591706317751098e-02	6.507214465719324892e+01	-3.164826909945472000e+00	5.355626832516462343e+01	4.343587915308593495e+01	1.509826763140969774e+02	9.580699792965368999e+01	-1.448896987741664510e+01	-1.332949652245428318e+01
2.002933993144765529e-02	8.005949166435308939e+01	-3.802524907112469599e+00	3.289266341114568348e+01	4.156871751332794673e+01	2.092792974317660537e+02	1.255677701667000292e+02	-2.927842066750080008e+01	-3.414093936119991923e+01
3.855599961023380151e-02	9.388268430136308496e+01	-4.185436305777736621e+00	1.959585307559387957e+01	4.722541872097750826e+01	2.604023884389554837e+02	1.481871028534515347e+02	-7.126830931368994015e+01	-7.574586707626852444e+01
6.161051071973966398e-02	1.061419527744834141e+02	-4.315059413230202701e+00	1.653059561019732371e+01	4.831834055039725939e+01	3.090963245766481577e+02	1.831947155259042290e+02	-1.212356844687985244e+02	-1.255117648640532337e+02
8.604451908577458175e-02	1.175104628447633104e+02	-4.772380600629607450e+00	1.574174620748858722e+01	4.690330464030534330e+01	3.504823678584913864e+02	2.147669954884965193e+02	-1.729958011039485370e+02	-1.776814285709253340e+02
1.115933958677449017e-01	1.295549972971496686e+02	-4.999843836054869151e+00	1.598096985121884650e+01	4.457320846123030122e+01	3.900829465301360983e+02	2.467121733450630643e+02	-2.259527503813349654e+02	-2.314458150861734964e+02
1.376402445218860571e-01	1.388016320218371220e+02	-5.391459668111520109e+00	1.667549013976129402e+01	4.188957959333286141e+01	4.255361843014050010e+02	2.770674578027230268e+02	-2.783491662505476825e+02	-2.854702406943125084e+02
1.640952493401565682e-01	1.504922025335119713e+02	-5.618218393190583804e+00	1.770515137076796819e+01	3.864066431074148511e+01	4.577072535821502015e+02	3.085529399504961816e+02	-3.296852994869730651e+02	-3.393293562537861590e+02
1.934153809269091306e-01	1.607616232771081286e+02	-5.835156273258475856e+00	1.892585709176405828e+01	3.549304142111741811e+01	4.860614314742240367e+02	3.380207731757778333e+02	-3.786474877529273044e+02	-3.979177409401924024e+02
2.198920142452799598e-01	1.676946405379545979e+02	-6.123497191936366768e+00	2.003851716727121968e+01	3.376972519201601131e+01	5.072213579655994522e+02	3.579327573901318829e+02	-4.264577769599815724e+02	-4.498064222525133005e+02
2.463855646927316234e-01	1.755855847016226505e+02	-6.249133862327362898e+00	2.123762434125454490e+01	3.241328744551597651e+01	5.235883855627838557e+02	3.755301548972857404e+02	-4.717150741026462697e+02	-5.005096960345619550e+02
2.728941671112043998e-01	1.833005039003134868e+02	-6.427655148595104784e+00	2.251949161131986443e+01	3.122150218859554727e+01	5.389092812565725126e+02	3.917520783906567203e+02	-5.155736946151594111e+02	-5.498422684664257076e+02
2.994252958917771323e-01	1.890157353372357250e+02	-6.519537036009650066e+00	2.388945639828542156e+01	2.982966449012777588e+01	5.517489329592028753e+02	4.079403989324637791e+02	-5.564710076021988243e+02	-5.975805854525411860e+02
3.259901646080796689e-01	1.937632873463006149e+02	-6.670250254843956839e+00	2.533768881208286317e+01	2.792998586020481255e+01	5.634004202760684166e+02	4.244815305808119774e+02	-5.953605270513342020e+02	-6.435161571947921857e+02
3.525079581172836929e-01	1.986546595295138502e+02	-6.757994861033969514e+00	2.679751502001838404e+01	2.646537431637840498e+01	5.747042520014275624e+02	4.376510717463318088e+02	-6.347723342856932049e+02	-6.875693270578630063e+02
3.789173352690268781e-01	2.042913428181300048e+02	-6.609585766609929358e+00	2.827035787920025101e+01	2.559073558501456702e+01	5.848992212636238719e+02	4.475141700739889075e+02	-6.748381125104668854e+02	-7.295330596862124821e+02
4.052422276976657689e-01	2.091602468633695935e+02	-6.821533458763791025e+00	2.978845047505119936e+01	2.460324195830030192e+01	5.978506108254802029e+02	4.564559140453075656e+02	-7.166315293305999603e+02	-7.691207414332088774e+02
4.315244895806362724e-01	2.137046271218652009e+02	-6.982366867481434092e+00	3.136087327291683380e+01	2.314920579151819169e+01	6.105353519805004225e+02	4.653664031621698882e+02	-7.576404285666308169e+02	-8.061183403411718018e+02
4.577691941833494371e-01	2.173019675475535735e+02	-7.090376105187820244e+00	3.296846820657598442e+01	2.163958494591681969e+01	6.263521774109831313e+02	4.728545970094280619e+02	-7.997840381669734597e+02	-8.404380869844276276e+02
4.838962190451353007e-01	2.201407979417909075e+02	-6.867121115869554870e+00	3.458899662633115923e+01	2.063006388610458686e+01	6.399831229865593514e+02	4.771353200280647684e+02	-8.400678566497422253e+02	-8.719679718487400351e+02
5.099034160207456257e-01	2.247055403699390581e+02	-7.090406144182189507e+00	3.623752168334350898e+01	1.970325185530629852e+01	6.559450057729147829e+02	4.792277879398179721e+02	-8.803266757476150133e+02	-9.004316912967481130e+02
5.358275719865539521e-01	2.281870382835171540e+02	-7.266304195133770349e+00	3.792867854986063492e+01	1.849498686070037223e+01	6.704365555085228152e+02	4.801325430575791415e+02	-9.177284641400253804e+02	-9.255404951075364579e+02
5.616776342794304044e-01	2.298798927962656933e+02	-6.836580192909095466e+00	3.966167989613830969e+01	1.707652344908876074e+01	6.849226455325601819e+02	4.796675229360883463e+02	-9.525387274022785959e+02	-9.470740222144116842e+02
