# time(us)	tip(nm)	Fts(nN)	Xb(nm)
1.855557784850606549e+04	-6.945575849904683707e+01	-1.161055857259575852e+01	-6.945582652808158741e+01
1.855560034850605371e+04	-6.945148199329089778e+01	-1.161001475047055642e+01	-6.945154973051624836e+01
1.855562249136318496e+04	-6.944729140227269681e+01	-1.160900416487462294e+01	-6.944735884963502315e+01
1.855564463422031622e+04	-6.944311886638895714e+01	-1.160752201651249038e+01	-6.944318602123524897e+01
1.855566677707744748e+04	-6.943896454977679866e+01	-1.160556835294486788e+01	-6.943903140946514441e+01
1.855568891993457873e+04	-6.943482861588287847e+01	-1.160314323978431084e+01	-6.943489517778255049e+01
1.855571141993456695e+04	-6.943064497083193487e+01	-1.160019618113342688e+01	-6.943071122745682544e+01
1.855573356279169820e+04	-6.942654659297801345e+01	-1.159682083759370208e+01	-6.942661254654480274e+01
1.855575570564882946e+04	-6.942246708657069121e+01	-1.159297435152557298e+01	-6.942253273448305606e+01
1.855577784850596072e+04	-6.941840661221827702e+01	-1.158865686092270941e+01	-6.941847195189144770e+01
1.855580034850594529e+04	-6.941430030597928180e+01	-1.158378743306646008e+01	-6.941436532980613094e+01
1.855582249136307655e+04	-6.941027868807822188e+01	-1.157852082948764227e+01	-6.941034339849043988e+01
1.855584463422020781e+04	-6.940627658224332208e+01	-1.157278374673117938e+01	-6.940634097669178004e+01
1.855586677707733907e+04	-6.940229414614124437e+01	-1.156657639512394375e+01	-6.940235822208886418e+01
1.855588891993447032e+04	-6.939833153669030708e+01	-1.155989900300557061e+01	-6.939839529161213250e+01
1.855591141993445854e+04	-6.939432548390985289e+01	-1.155263269118602132e+01	-6.939438891005423216e+01
1.855593356279158979e+04	-6.939040332157071589e+01	-1.154500840425307473e+01	-6.939046642163589240e+01
1.855595570564872105e+04	-6.938650145457292240e+01	-1.153691487445497188e+01	-6.938656422607107288e+01
1.855597784850585231e+04	-6.938262003676648249e+01	-1.152835240234379732e+01	-6.938268247722233184e+01
1.855600034850584052e+04	-6.937869711967019271e+01	-1.151917180523940942e+01	-6.937875922122186978e+01
1.855602249136297178e+04	-6.937485739466650614e+01	-1.150966487181863229e+01	-6.937491916022386818e+01
1.855604463422010303e+04	-6.937103857813936258e+01	-1.149969001130175883e+01	-6.937110000526550380e+01
1.855606677707723429e+04	-6.936724082077093101e+01	-1.148924759629594128e+01	-6.936730190704184906e+01
1.855608891993436555e+04	-6.936346427243935864e+01	-1.147833801734766013e+01	-6.936352501544408256e+01
1.855611141993435376e+04	-6.935964869046688364e+01	-1.146677437105815756e+01	-6.935970908221273135e+01
1.855613356279148502e+04	-6.935591535468431346e+01	-1.145492418950061619e+01	-6.935597539834310510e+01
1.855615570564861628e+04	-6.935220367505978345e+01	-1.144260813023651302e+01	-6.935226336826036686e+01
1.855617784850574753e+04	-6.934851379818185535e+01	-1.142982665558698585e+01	-6.934857313856649341e+01
1.855620034850573575e+04	-6.934478689032812326e+01	-1.141636278673782812e+01	-6.934484586980508425e+01
1.855622249136286700e+04	-6.934114141289548172e+01	-1.140264445295206563e+01	-6.934120003484416372e+01
1.855624463421999826e+04	-6.933751817526434991e+01	-1.138846220626942873e+01	-6.933757643736801413e+01
1.855626677707712952e+04	-6.933391732063829238e+01	-1.137381658058957612e+01	-6.933397522059398455e+01
1.855628891993426078e+04	-6.933033899136343337e+01	-1.135870812758716930e+01	-6.933039652688211163e+01
1.855631141993424899e+04	-6.932672616604941140e+01	-1.134288249142215044e+01	-6.932678332892267292e+01
1.855633356279138025e+04	-6.932319368006616855e+01	-1.132684266848652932e+01	-6.932325047392990314e+01
1.855635570564851150e+04	-6.931968414351685226e+01	-1.131034178966834780e+01	-6.931974056612439483e+01
1.855637784850564276e+04	-6.931619769524613162e+01	-1.129338047786677279e+01	-6.931625374436507059e+01
