# time(us)	tip(nm)	Fts(nN)	Xb(nm)
1.855557784850606549e+04	2.408386823757030584e+02	-4.232737762723572512e-06	-3.959603167454918804e+01
1.855560034850605371e+04	2.413536057189701296e+02	-4.217320831349615513e-06	-3.959350733522931165e+01
1.855562249136318496e+04	2.418563577361293824e+02	-4.202349881266342289e-06	-3.959102784999889479e+01
1.855564463422031622e+04	2.423551791869675753e+02	-4.187575058751547228e-06	-3.958855308823744679e+01
1.855566677707744748e+04	2.428501007859880474e+02	-4.172993053074487870e-06	-3.958608302676285717e+01
1.855568891993457873e+04	2.433411479977994532e+02	-4.158600771270937702e-06	-3.958361764254446769e+01
1.855571141993456695e+04	2.438361667409025415e+02	-4.144167750789680527e-06	-3.958111726152559129e+01
1.855573356279169820e+04	2.443194550924523014e+02	-4.130149537206917526e-06	-3.957866123784353363e+01
1.855575570564882946e+04	2.447989070145517303e+02	-4.116313185666292797e-06	-3.957620982285546773e+01
1.855577784850596072e+04	2.452745202145375742e+02	-4.102656613359872715e-06	-3.957376299412401721e+01
1.855580034850594529e+04	2.457538616521423762e+02	-4.088962063455634554e-06	-3.957128137526628109e+01
1.855582249136307655e+04	2.462216947540044885e+02	-4.075662732287437791e-06	-3.956884372538564776e+01
1.855584463422020781e+04	2.466856311880704027e+02	-4.062538564533949439e-06	-3.956641059495579071e+01
1.855586677707733907e+04	2.471456339767958355e+02	-4.049588584883630950e-06	-3.956398196211097940e+01
1.855588891993447032e+04	2.476016571189834963e+02	-4.036812089062335016e-06	-3.956155780512436593e+01
1.855591141993445854e+04	2.480609023703127036e+02	-4.024006771865504226e-06	-3.955909911132669521e+01
1.855593356279158979e+04	2.485087257718560920e+02	-4.011578964695363420e-06	-3.955668391274888052e+01
1.855595570564872105e+04	2.489523770954966153e+02	-3.999324073845008915e-06	-3.955427312532892614e+01
1.855597784850585231e+04	2.493917755624844688e+02	-3.987242387051651478e-06	-3.955186672788646263e+01
1.855600034850584052e+04	2.498338135430499847e+02	-3.975143766259858705e-06	-3.954942599266508552e+01
1.855602249136297178e+04	2.502643608722063391e+02	-3.963412997958510594e-06	-3.954702838212630667e+01
1.855604463422010303e+04	2.506903666531261763e+02	-3.951857506613328964e-06	-3.954463509848353908e+01
1.855606677707723429e+04	2.511117222648163079e+02	-3.940478312654847845e-06	-3.954224612108384207e+01
1.855608891993436555e+04	2.515283138572942221e+02	-3.929276565945322886e-06	-3.953986142940270554e+01
1.855611141993435376e+04	2.519466229595273887e+02	-3.918077203089269028e-06	-3.953744264391029617e+01
1.855613356279148502e+04	2.523532464241861248e+02	-3.907237116039647925e-06	-3.953506653090446576e+01
1.855615570564861628e+04	2.527547392658536012e+02	-3.896578488870761718e-06	-3.953269464247986065e+01
1.855617784850574753e+04	2.531509752531749200e+02	-3.886102750940193833e-06	-3.953032695861691792e+01
1.855620034850573575e+04	2.535480866416749279e+02	-3.875646867992549472e-06	-3.952792537264713957e+01
1.855622249136286700e+04	2.539333382202245843e+02	-3.865544214245199273e-06	-3.952556610535505399e+01
1.855624463421999826e+04	2.543129514942733351e+02	-3.855628715903737634e-06	-3.952321098298492785e+01
1.855626677707712952e+04	2.546868029499551938e+02	-3.845901694797050696e-06	-3.952085998600546191e+01
1.855628891993426078e+04	2.550547720962543394e+02	-3.836364390353946289e-06	-3.951851309500457887e+01
1.855631141993424899e+04	2.554225307940361063e+02	-3.826868760380134745e-06	-3.951613253690468497e+01
1.855633356279138025e+04	2.557782908507652166e+02	-3.817717282967228302e-06	-3.951379386554409479e+01
1.855635570564851150e+04	2.561278321679891974e+02	-3.808758569420379293e-06	-3.951145924232361040e+01
1.855637784850564276e+04	2.564710547600408290e+02	-3.799993345862375612e-06	-3.950912864829945192e+01
1.855640034850563097e+04	2.568132449408578850e+02	-3.791285522171176695e-06	-3.950676457185930701e+01
1.855642249136276223e+04	2.571434528031348918e+02	-3.782911928529058780e-06	-3.950444204408131554e+01
1.855644463421989349e+04	2.574670843264190125e+02	-3.774732981291241413e-06	-3.950212348905110105e+01
1.855646677707702474e+04	2.577840702770653252e+02	-3.766748694039047482e-06	-3.949980888827827386e+01
1.855648891993415600e+04	2.580943500486774838e+02	-3.758958888448007029e-06	-3.949749822338313976e+01
1.855651141993414421e+04	2.584027117449775801e+02	-3.751242269765243119e-06	-3.949515430249734038e+01
1.855653356279127547e+04	2.586993227398580188e+02	-3.743843237696039248e-06	-3.949285151740275523e+01
1.855655570564840673e+04	2.589890984958347531e+02	-3.736636987618136649e-06	-3.949055261341162293e+01
1.855657784850553799e+04	2.592720140304089114e+02	-3.729622582486255579e-06	-3.948825757257993985e+01
1.855660034850552620e+04	2.595524488120017850e+02	-3.722690407516001446e-06	-3.948592945371687790e+01
1.855662249136265746e+04	2.598214920619495842e+02	-3.716059236725491156e-06	-3.948364214738738553e+01
1.855664463421978871e+04	2.600836506334585465e+02	-3.709616068791091793e-06	-3.948135865073693651e+01
1.855666677707691997e+04	2.603389320051771278e+02	-3.703359332413642030e-06	-3.947907894624374592e+01
1.855668891993405123e+04	2.605873505681836946e+02	-3.697287332016486595e-06	-3.947680301648931334e+01
1.855671141993403944e+04	2.608327674698182932e+02	-3.691304767957002130e-06	-3.947449422691219212e+01
1.855673356279117070e+04	2.610674183871183232e+02	-3.685599643102679872e-06	-3.947222585497359404e+01
1.855675570564830196e+04	2.612952851774368241e+02	-3.680073559721841521e-06	-3.946996120585394152e+01
1.855677784850543321e+04	2.615164031563170965e+02	-3.674724499532353624e-06	-3.946770026254103669e+01
1.855680034850542143e+04	2.617342143236745642e+02	-3.669468381539123923e-06	-3.946540663092895329e+01
1.855682249136255268e+04	2.619418455989558083e+02	-3.664469976358316280e-06	-3.946315310767948148e+01
1.855684463421968394e+04	2.621428508773588533e+02	-3.659642394142060893e-06	-3.946090323952437018e+01
1.855686677707681520e+04	2.623372734180327370e+02	-3.654983609273263726e-06	-3.945865700984592905e+01
1.855688891993394645e+04	2.625251563167984159e+02	-3.650491644122039873e-06	-3.945641440212268236e+01
1.855691141993393467e+04	2.627094142240736687e+02	-3.646096137899324508e-06	-3.945413931644606720e+01
1.855693356279106592e+04	2.628842385068900285e+02	-3.641934780853766201e-06	-3.945190396120808884e+01
1.855695570564819718e+04	2.630526438673500706e+02	-3.637934756195077841e-06	-3.944967217867126408e+01
1.855697784850532844e+04	2.632146647027832955e+02	-3.634094459635869732e-06	-3.944744395269426462e+01
1.855700034850531665e+04	2.633727902963561860e+02	-3.630354320535576286e-06	-3.944518341413004947e+01
1.855702249136244791e+04	2.635220270058800907e+02	-3.626831729298609134e-06	-3.944296230993698771e+01
1.855704463421957917e+04	2.636649566909084683e+02	-3.623464876903179560e-06	-3.944074471417935257e+01
1.855706677707671042e+04	2.638015946139996686e+02	-3.620252758676285750e-06	-3.943853061108486457e+01
1.855708891993384168e+04	2.639319501833709296e+02	-3.617194541624236033e-06	-3.943631998497158975e+01
1.855711141993382989e+04	2.640579764628174075e+02	-3.614243967885576745e-06	-3.943407724909528156e+01
1.855713356279096115e+04	2.641756695328085698e+02	-3.611494224579935373e-06	-3.943187358570862244e+01
1.855715570564809241e+04	2.642870709935372133e+02	-3.608896949040952904e-06	-3.942967335254454042e+01
1.855717784850522366e+04	2.643921650557298904e+02	-3.606452026051971766e-06	-3.942747653427723975e+01
1.855720034850521188e+04	2.644924706802246988e+02	-3.604123789497926349e-06	-3.942524776572373923e+01
1.855722249136234313e+04	2.645847751313636991e+02	-3.601986385381216963e-06	-3.942305778608549360e+01
1.855724463421947439e+04	2.646706878867105388e+02	-3.600002021635631174e-06	-3.942087117564445009e+01
1.855726677707660201e+04	2.647501698644874182e+02	-3.598171243932899742e-06	-3.941868791942108174e+01
1.855728891993373327e+04	2.648231771684201021e+02	-3.596494738635861672e-06	-3.941650800252043751e+01
1.855731141993372148e+04	2.648906802412848265e+02	-3.594950056601944366e-06	-3.941429633096473850e+01
1.855733356279085274e+04	2.649504836174699562e+02	-3.593587175890573355e-06	-3.941212310162422483e+01
1.855735570564798400e+04	2.650036567456059515e+02	-3.592381350568785176e-06	-3.940995316718869645e+01
1.855737784850511525e+04	2.650501426670073783e+02	-3.591333686659912611e-06	-3.940778651309761926e+01
1.855740034850510347e+04	2.650904683963988759e+02	-3.590432336627602233e-06	-3.940558825819691435e+01
1.855742249136223472e+04	2.651232940255920880e+02	-3.589707143001643549e-06	-3.940342817376556894e+01
1.855744463421936598e+04	2.651492555621961174e+02	-3.589143746634421060e-06	-3.940127132625575967e+01
1.855746677707649724e+04	2.651682955110740068e+02	-3.588743388322532247e-06	-3.939911770143224601e+01
1.855748891993362849e+04	2.651803583947630045e+02	-3.588507293926901501e-06	-3.939696728513958135e+01
1.855751141993361671e+04	2.651854149134494492e+02	-3.588436877892333610e-06	-3.939478545679106247e+01
1.855753356279074796e+04	2.651832550359973197e+02	-3.588535528817852399e-06	-3.939264146659270693e+01
1.855755570564787922e+04	2.651739715837431959e+02	-3.588801856925196947e-06	-3.939050064270726637e+01
1.855757784850501048e+04	2.651575255998397438e+02	-3.589236838351984848e-06	-3.938836297129364539e+01
1.855760034850499869e+04	2.651334437365121062e+02	-3.589852486957071784e-06	-3.938619403628599969e+01
1.855762249136212995e+04	2.651024639920593131e+02	-3.590630016569413257e-06	-3.938406267889242685e+01
1.855764463421926121e+04	2.650642434431275660e+02	-3.591578441957701283e-06	-3.938193443268878013e+01
1.855766677707639246e+04	2.650187711482506074e+02	-3.592698227597220012e-06	-3.937980928414029336e+01
1.855768891993352372e+04	2.649660444496855121e+02	-3.593989679907281300e-06	-3.937768721978713415e+01
1.855771141993351193e+04	2.649050426616229288e+02	-3.595477947372710031e-06	-3.937553407401936312e+01
1.855773356279064319e+04	2.648377175122702738e+02	-3.597115747469338299e-06	-3.937341818718076070e+01
1.855775570564777445e+04	2.647631832572897679e+02	-3.598925102439502282e-06	-3.937130534439020835e+01
1.855777784850490571e+04	2.646814731575122437e+02	-3.600905615730962167e-06	-3.936919553248421977e+01
1.855780034850489392e+04	2.645911384483355278e+02	-3.603092798007989841e-06	-3.936705478247936441e+01
1.855782249136202518e+04	2.644950990366962742e+02	-3.605416444798502796e-06	-3.936495104149946656e+01
1.855784463421915643e+04	2.643920387142297841e+02	-3.607908961845576482e-06	-3.936285029213883035e+01
1.855786677707628769e+04	2.642820261972020148e+02	-3.610569241033320069e-06	-3.936075252152255644e+01
1.855788891993341895e+04	2.641651382230961076e+02	-3.613396011718220867e-06	-3.935865771684643732e+01
1.855791141993340716e+04	2.640394090625628110e+02	-3.616437450349176962e-06	-3.935653214996723648e+01
1.855793356279053842e+04	2.639089225828064400e+02	-3.619595417106645085e-06	-3.935444328636423705e+01
1.855795570564766967e+04	2.637718351500392941e+02	-3.622915168561924238e-06	-3.935235735050606110e+01
1.855797784850480093e+04	2.636282498283368341e+02	-3.626394899782291194e-06	-3.935027432986797180e+01
1.855800034850478914e+04	2.634758036967074304e+02	-3.630092669785499143e-06	-3.934816068542408374e+01
1.855802249136192040e+04	2.633194495207794148e+02	-3.633889084913192841e-06	-3.934608350444334235e+01
1.855804463421905166e+04	2.631569334586755531e+02	-3.637839534884965809e-06	-3.934400920131949420e+01
1.855806677707618292e+04	2.629883722832885269e+02	-3.641941946606089057e-06	-3.934193776380026719e+01
1.855808891993331417e+04	2.628138838911849575e+02	-3.646194230231572832e-06	-3.933986917970005948e+01
1.855811141993330239e+04	2.626306313728358646e+02	-3.650666468909985665e-06	-3.933777014168425978e+01
1.855813356279043364e+04	2.624445511355576173e+02	-3.655214599913493143e-06	-3.933570727366507214e+01
1.855815570564756490e+04	2.622528964815427912e+02	-3.659906413942229464e-06	-3.933364722271185343e+01
1.855817784850469616e+04	2.620557803229105502e+02	-3.664739968779783158e-06	-3.933158997690299685e+01
1.855820034850468437e+04	2.618500031610644783e+02	-3.669794765275233577e-06	-3.932950241087527132e+01
1.855822249136181563e+04	2.616422040147141956e+02	-3.674908568381140596e-06	-3.932745078461501720e+01
1.855824463421894689e+04	2.614292592465391181e+02	-3.680158878053060314e-06	-3.932540192793212697e+01
