# time(us)	tip(nm)	Fts(nN)	Xb(nm)
2.968889248550312186e+04	-1.986520202392912893e+01	-7.419831923793189510e-03	-2.637285188340939968e+01
2.968889605693169142e+04	-1.981452848836282499e+01	-7.310518982239179106e-03	-2.637210846031494427e+01
2.968889962836026098e+04	-1.976380854571155865e+01	-7.203499609894721024e-03	-2.637136775137322786e+01
2.968890319978883053e+04	-1.971304411342914520e+01	-7.098715013340137388e-03	-2.637062972753593471e+01
2.968890677121740009e+04	-1.966223711143977937e+01	-6.996108179038553095e-03	-2.636989436019975841e+01
2.968891034264596965e+04	-1.961138946208665956e+01	-6.895623811584320612e-03	-2.636916162119900875e+01
2.968891391407453921e+04	-1.956050309008023191e+01	-6.797208274361980079e-03	-2.636843148279815452e+01
2.968891748550310876e+04	-1.950957992244616079e+01	-6.700809532510595794e-03	-2.636770391768470034e+01
2.968892105693167832e+04	-1.945862188847294405e+01	-6.606377098095118049e-03	-2.636697889896195690e+01
2.968892462836024788e+04	-1.940763091965914811e+01	-6.513861977389043094e-03	-2.636625640014219130e+01
2.968892819978881744e+04	-1.935660894966038725e+01	-6.423216620179104941e-03	-2.636553639513969216e+01
2.968893177121738699e+04	-1.930555791423584466e+01	-6.334394871005445855e-03	-2.636481885826402660e+01
2.968893534264595655e+04	-1.925447975119453758e+01	-6.247351922255570469e-03	-2.636410376421338597e+01
2.968893891407452611e+04	-1.920337640034113846e+01	-6.162044269033533500e-03	-2.636339108806819098e+01
2.968894248550309567e+04	-1.915224980342149053e+01	-6.078429665730557263e-03	-2.636268080528454405e+01
2.968894605693166523e+04	-1.910110190406771835e+01	-5.996467084225139133e-03	-2.636197289168801916e+01
2.968894962836023478e+04	-1.904993464774298317e+01	-5.916116673645339941e-03	-2.636126732346745882e+01
2.968895319978880434e+04	-1.899874998168583318e+01	-5.837339721628305271e-03	-2.636056407716886696e+01
2.968895677121737390e+04	-1.894754985485420562e+01	-5.760098617015112568e-03	-2.635986312968950784e+01
2.968896034264594346e+04	-1.889633621786900264e+01	-5.684356813922263572e-03	-2.635916445827195176e+01
2.968896391407451301e+04	-1.884511102295730822e+01	-5.610078797133112236e-03	-2.635846804049835512e+01
2.968896748550308257e+04	-1.879387622389517531e+01	-5.537230048755607814e-03	-2.635777385428475128e+01
2.968897105693165213e+04	-1.874263377595003988e+01	-5.465777016094886497e-03	-2.635708187787550116e+01
2.968897462836022169e+04	-1.869138563582270862e+01	-5.395687080691551236e-03	-2.635639208983785409e+01
2.968897819978879124e+04	-1.864013376158896307e+01	-5.326928528478996547e-03	-2.635570446905643749e+01
2.968898177121736080e+04	-1.858888011264071949e+01	-5.259470521014270386e-03	-2.635501899472810905e+01
2.968898534264593036e+04	-1.853762664962680518e+01	-5.193283067740334102e-03	-2.635433564635665249e+01
2.968898891407449992e+04	-1.848637533439329061e+01	-5.128336999238179011e-03	-2.635365440374769364e+01
2.968899248550306947e+04	-1.843512812992341310e+01	-5.064603941429731901e-03	-2.635297524700370886e+01
2.968899605693163903e+04	-1.838388700027707401e+01	-5.002056290694209539e-03	-2.635229815651902641e+01
2.968899962836020859e+04	-1.833265391052989557e+01	-4.940667189861711571e-03	-2.635162311297501603e+01
2.968900319978877815e+04	-1.828143082671187614e+01	-4.880410505049941929e-03	-2.635095009733531768e+01
2.968900677121734770e+04	-1.823021971574556943e+01	-4.821260803311199633e-03	-2.635027909084109510e+01
2.968901034264591726e+04	-1.817902254538386231e+01	-4.763193331057979409e-03	-2.634961007500645636e+01
2.968901391407448682e+04	-1.812784128414730134e+01	-4.706183993237179203e-03	-2.634894303161400231e+01
2.968901748550305638e+04	-1.807667790126098240e+01	-4.650209333224280400e-03	-2.634827794271020807e+01
2.968902105693162594e+04	-1.802553436659098551e+01	-4.595246513409420759e-03	-2.634761479060120593e+01
2.968902462836019549e+04	-1.797441265058037985e+01	-4.541273296449357434e-03	-2.634695355784838000e+01
2.968902819978876505e+04	-1.792331472418478100e+01	-4.488268027159678271e-03	-2.634629422726418824e+01
2.968903177121733461e+04	-1.787224255880744295e+01	-4.436209615023145245e-03	-2.634563678190795954e+01
2.968903534264590417e+04	-1.782119812623391653e+01	-4.385077517290746942e-03	-2.634498120508185792e+01
2.968903891407447372e+04	-1.777018339856627094e+01	-4.334851722653301591e-03	-2.634432748032684657e+01
2.968904248550304328e+04	-1.771920034815680722e+01	-4.285512735462126965e-03	-2.634367559141873727e+01
2.968904605693161284e+04	-1.766825094754140224e+01	-4.237041560478306546e-03	-2.634302552236428241e+01
2.968904962836018240e+04	-1.761733716937231620e+01	-4.189419688130843755e-03	-2.634237725739742686e+01
2.968905319978875195e+04	-1.756646098635059872e+01	-4.142629080264915477e-03	-2.634173078097548881e+01
2.968905677121732151e+04	-1.751562437115802950e+01	-4.096652156362036272e-03	-2.634108607777555022e+01
2.968906034264589107e+04	-1.746482929638857939e+01	-4.051471780214929187e-03	-2.634044313269073356e+01
2.968906391407446063e+04	-1.741407773447945928e+01	-4.007071247040183519e-03	-2.633980193082676635e+01
2.968906748550303018e+04	-1.736337165764165746e+01	-3.963434271013028913e-03	-2.633916245749837159e+01
2.968907105693159974e+04	-1.731271303779008264e+01	-3.920544973208606350e-03	-2.633852469822589626e+01
2.968907462836016930e+04	-1.726210384647319529e+01	-3.878387869935198597e-03	-2.633788863873189356e+01
2.968907819978873886e+04	-1.721154605480223054e+01	-3.836947861445095219e-03	-2.633725426493782251e+01
2.968908177121730841e+04	-1.716104163337992716e+01	-3.796210221009676655e-03	-2.633662156296078649e+01
2.968908534264587797e+04	-1.711059255222884445e+01	-3.756160584345601561e-03	-2.633599051911027544e+01
2.968908891407444753e+04	-1.706020078071917467e+01	-3.716784939379433068e-03	-2.633536111988509631e+01
2.968909248550301709e+04	-1.700986828749616464e+01	-3.678069616338972437e-03	-2.633473335197017207e+01
2.968909605693158665e+04	-1.695959704040703642e+01	-3.640001278159334455e-03	-2.633410720223357870e+01
2.968909962836015620e+04	-1.690938900642748166e+01	-3.602566911193023132e-03	-2.633348265772345442e+01
2.968910319978872576e+04	-1.685924615158770834e+01	-3.565753816212960566e-03	-2.633285970566516454e+01
2.968910677121729532e+04	-1.680917044089805756e+01	-3.529549599698497339e-03	-2.633223833345835985e+01
2.968911034264586488e+04	-1.675916383827411593e+01	-3.493942165394425033e-03	-2.633161852867404917e+01
2.968911391407443443e+04	-1.670922830646149393e+01	-3.458919706133282024e-03	-2.633100027905195262e+01
2.968911748550300399e+04	-1.665936580696005009e+01	-3.424470695912185288e-03	-2.633038357249762385e+01
2.968912105693157355e+04	-1.660957829994775636e+01	-3.390583882215094345e-03	-2.632976839707980332e+01
2.968912462836014311e+04	-1.655986774420409091e+01	-3.357248278572202808e-03	-2.632915474102775732e+01
2.968912819978871266e+04	-1.651023609703303663e+01	-3.324453157348263108e-03	-2.632854259272865249e+01
2.968913177121728222e+04	-1.646068531418561420e+01	-3.292188042752043371e-03	-2.632793194072504050e+01
2.968913534264585178e+04	-1.641121734978199598e+01	-3.260442704059425892e-03	-2.632732277371221841e+01
2.968913891407442134e+04	-1.636183415623323611e+01	-3.229207149042735182e-03	-2.632671508053588383e+01
2.968914248550299089e+04	-1.631253768416253536e+01	-3.198471617599530584e-03	-2.632610885018958768e+01
2.968914605693156045e+04	-1.626332988232611498e+01	-3.168226575573967075e-03	-2.632550407181242136e+01
2.968914962836013001e+04	-1.621421269753369643e+01	-3.138462708764359985e-03	-2.632490073468658665e+01
2.968915319978869957e+04	-1.616518807456853324e+01	-3.109170917110648351e-03	-2.632429882823512912e+01
2.968915677121726912e+04	-1.611625795610705580e+01	-3.080342309055802887e-03	-2.632369834201964309e+01
2.968916034264583868e+04	-1.606742428263816436e+01	-3.051968196075378111e-03	-2.632309926573804049e+01
2.968916391407440824e+04	-1.601868899238205657e+01	-3.024040087369634072e-03	-2.632250158922235528e+01
2.968916748550297780e+04	-1.597005402120872297e+01	-2.996549684712894283e-03	-2.632190530243651594e+01
2.968917105693154735e+04	-1.592152130255602493e+01	-2.969488877454815566e-03	-2.632131039547436302e+01
2.968917462836011691e+04	-1.587309276734740493e+01	-2.942849737668882561e-03	-2.632071685855741094e+01
2.968917819978868647e+04	-1.582477034390923087e+01	-2.916624515442990413e-03	-2.632012468203286559e+01
2.968918177121725603e+04	-1.577655595788776566e+01	-2.890805634307698577e-03	-2.631953385637160636e+01
2.968918534264582559e+04	-1.572845153216577607e+01	-2.865385686797635063e-03	-2.631894437216615046e+01
2.968918891407439514e+04	-1.568045898677878114e+01	-2.840357430141641874e-03	-2.631835622012880549e+01
2.968919248550296470e+04	-1.563258023883094872e+01	-2.815713782077723399e-03	-2.631776939108961955e+01
2.968919605693153426e+04	-1.558481720241065993e+01	-2.791447816788566322e-03	-2.631718387599458708e+01
2.968919962836010382e+04	-1.553717178850570413e+01	-2.767552760953871042e-03	-2.631659966590378019e+01
2.968920319978867337e+04	-1.548964590491819315e+01	-2.744021989915826527e-03	-2.631601675198948698e+01
2.968920677121724293e+04	-1.544224145617909016e+01	-2.720849023953957752e-03	-2.631543512553448139e+01
2.968921034264581249e+04	-1.539496034346246667e+01	-2.698027524666088764e-03	-2.631485477793017580e+01
2.968921391407438205e+04	-1.534780446449941493e+01	-2.675551291451841365e-03	-2.631427570067500099e+01
2.968921748550295160e+04	-1.530077571349168153e+01	-2.653414258095665706e-03	-2.631369788537258358e+01
2.968922105693152116e+04	-1.525387598102497577e+01	-2.631610489446065647e-03	-2.631312132373020063e+01
2.968922462836009072e+04	-1.520710715398200286e+01	-2.610134178188206443e-03	-2.631254600755701389e+01
2.968922819978866028e+04	-1.516047111545520565e+01	-2.588979641706803080e-03	-2.631197192876254221e+01
