# time(us)	tip(nm)	Fts(nN)	Xb(nm)
2.968889248550312186e+04	3.076645854953834469e+00	-3.107897927445113853e-02	-3.086998961336185655e-03
2.968889605693169142e+04	3.124545352161673950e+00	-3.018998560271883916e-02	-3.086998131227872838e-03
2.968889962836026098e+04	3.172754261429989953e+00	-2.933320827410768050e-02	-3.086997301119923879e-03
2.968890319978883053e+04	3.221270684327862011e+00	-2.850726129918725385e-02	-3.086996471012337911e-03
2.968890677121740009e+04	3.270092710004033343e+00	-2.771082713398160743e-02	-3.086995640905114066e-03
2.968891034264596965e+04	3.319218415261306898e+00	-2.694265288917301743e-02	-3.086994810798253212e-03
2.968891391407453921e+04	3.368645864631441000e+00	-2.620154677069271368e-02	-3.086993980691754916e-03
2.968891748550310876e+04	3.418373110450581009e+00	-2.548637473634884215e-02	-3.086993150585620911e-03
2.968892105693167832e+04	3.468398192935246982e+00	-2.479605735423459634e-02	-3.086992320479849464e-03
2.968892462836024788e+04	3.518719140258856903e+00	-2.412956684967331941e-02	-3.086991490374441007e-03
2.968892819978881744e+04	3.569333968628778386e+00	-2.348592432838884914e-02	-3.086990660269395975e-03
2.968893177121738699e+04	3.620240682363883078e+00	-2.286419716445618061e-02	-3.086989830164716102e-03
2.968893534264595655e+04	3.671437273972672610e+00	-2.226349654238491543e-02	-3.086989000060397052e-03
2.968893891407452611e+04	3.722921724231932128e+00	-2.168297514343042048e-02	-3.086988169956443161e-03
2.968894248550309567e+04	3.774692002265888746e+00	-2.112182496691227332e-02	-3.086987339852850527e-03
2.968894605693166523e+04	3.826746065625933557e+00	-2.057927527795382072e-02	-3.086986509749620883e-03
2.968894962836023478e+04	3.879081860370819701e+00	-2.005459067364659398e-02	-3.086985679646754230e-03
2.968895319978880434e+04	3.931697321147440860e+00	-1.954706926018639351e-02	-3.086984849544251869e-03
2.968895677121737390e+04	3.984590371272060949e+00	-1.905604093403570620e-02	-3.086984019442111198e-03
2.968896034264594346e+04	4.037758922812146878e+00	-1.858086576063410281e-02	-3.086983189340335252e-03
2.968896391407451301e+04	4.091200876668650288e+00	-1.812093244461504549e-02	-3.086982359238920563e-03
2.968896748550308257e+04	4.144914122658836853e+00	-1.767565688589054981e-02	-3.086981529137870165e-03
2.968897105693165213e+04	4.198896539599621391e+00	-1.724448081634015126e-02	-3.086980699037183192e-03
2.968897462836022169e+04	4.253145995391387935e+00	-1.682687051218997518e-02	-3.086979868936861379e-03
2.968897819978879124e+04	4.307660347102380882e+00	-1.642231557748936172e-02	-3.086979038836899520e-03
2.968898177121736080e+04	4.362437441053542919e+00	-1.603032779439656982e-02	-3.086978208737301953e-03
2.968898534264593036e+04	4.417475112903875178e+00	-1.565044003626150926e-02	-3.086977378638065643e-03
2.968898891407449992e+04	4.472771187736297449e+00	-1.528220523975636243e-02	-3.086976548539193191e-03
2.968899248550306947e+04	4.528323480143980007e+00	-1.492519543254551377e-02	-3.086975718440682862e-03
2.968899605693163903e+04	4.584129794317220785e+00	-1.457900081321201677e-02	-3.086974888342538994e-03
2.968899962836020859e+04	4.640187924130752428e+00	-1.424322888036852475e-02	-3.086974058244755948e-03
2.968900319978877815e+04	4.696495653231602674e+00	-1.391750360807470291e-02	-3.086973228147336760e-03
2.968900677121734770e+04	4.753050755127380178e+00	-1.360146466486679938e-02	-3.086972398050280130e-03
2.968901034264591726e+04	4.809850993275058606e+00	-1.329476667387376188e-02	-3.086971567953589526e-03
2.968901391407448682e+04	4.866894121170261656e+00	-1.299707851165296350e-02	-3.086970737857259745e-03
2.968901748550305638e+04	4.924177882436993947e+00	-1.270808264352654704e-02	-3.086969907761292087e-03
2.968902105693162594e+04	4.981700010917859522e+00	-1.242747449333687568e-02	-3.086969077665688722e-03
2.968902462836019549e+04	5.039458230764719993e+00	-1.215496184566831374e-02	-3.086968247570445745e-03
2.968902819978876505e+04	5.097450256529842072e+00	-1.189026427870246323e-02	-3.086967417475568361e-03
2.968903177121733461e+04	5.155673793257522952e+00	-1.163311262598637312e-02	-3.086966587381053100e-03
2.968903534264590417e+04	5.214126536576116244e+00	-1.138324846549794087e-02	-3.086965757286901698e-03
2.968903891407447372e+04	5.272806172790548196e+00	-1.114042363449057119e-02	-3.086964927193114154e-03
2.968904248550304328e+04	5.331710378975289544e+00	-1.090439976869068614e-02	-3.086964097099689601e-03
2.968904605693161284e+04	5.390836823067730599e+00	-1.067494786450742111e-02	-3.086963267006628039e-03
2.968904962836018240e+04	5.450183163962064370e+00	-1.045184786299373919e-02	-3.086962436913929034e-03
2.968905319978875195e+04	5.509747051603517853e+00	-1.023488825437353887e-02	-3.086961606821595622e-03
2.968905677121732151e+04	5.569526127083078926e+00	-1.002386570201880406e-02	-3.086960776729620430e-03
2.968906034264589107e+04	5.629518022732646898e+00	-9.818584684827123821e-03	-3.086959946638009964e-03
2.968906391407446063e+04	5.689720362220585415e+00	-9.618857157011297815e-03	-3.086959116546764224e-03
2.968906748550303018e+04	5.750130760647724770e+00	-9.424502224370122708e-03	-3.086958286455881474e-03
2.968907105693159974e+04	5.810746824643742592e+00	-9.235345836163951286e-03	-3.086957456365359547e-03
2.968907462836016930e+04	5.871566152463978838e+00	-9.051220491768777188e-03	-3.086956626275203213e-03
2.968907819978873886e+04	5.932586334086644264e+00	-8.871964961330450553e-03	-3.086955796185409436e-03
2.968908177121730841e+04	5.993804951310439222e+00	-8.697424019685017979e-03	-3.086954966095980385e-03
2.968908534264587797e+04	6.055219577852584578e+00	-8.527448192852955799e-03	-3.086954136006911289e-03
2.968908891407444753e+04	6.116827779447236324e+00	-8.361893516454579206e-03	-3.086953305918206918e-03
2.968909248550301709e+04	6.178627113944267890e+00	-8.200621305430502023e-03	-3.086952475829865105e-03
2.968909605693158665e+04	6.240615131408471683e+00	-8.043497934485646997e-03	-3.086951645741886716e-03
2.968909962836015620e+04	6.302789374219085694e+00	-7.890394628708038982e-03	-3.086950815654269584e-03
2.968910319978872576e+04	6.365147377169790843e+00	-7.741187263843719510e-03	-3.086949985567018478e-03
2.968910677121729532e+04	6.427686667568981882e+00	-7.595756175738518738e-03	-3.086949155480127761e-03
2.968911034264586488e+04	6.490404765340457516e+00	-7.453985978483785961e-03	-3.086948325393602203e-03
2.968911391407443443e+04	6.553299183124438265e+00	-7.315765390828942241e-03	-3.086947495307439636e-03
2.968911748550300399e+04	6.616367426378979566e+00	-7.180987070447461887e-03	-3.086946665221640060e-03
2.968912105693157355e+04	6.679606993481703725e+00	-7.049547455665455646e-03	-3.086945835136204342e-03
2.968912462836014311e+04	6.743015375831876490e+00	-6.921346614283252832e-03	-3.086945005051131181e-03
2.968912819978871266e+04	6.806590057952881523e+00	-6.796288099139992378e-03	-3.086944174966420144e-03
2.968913177121728222e+04	6.870328517594933793e+00	-6.674278810090606209e-03	-3.086943344882071665e-03
2.968913534264585178e+04	6.934228225838197979e+00	-6.555228862081572544e-03	-3.086942514798087910e-03
2.968913891407442134e+04	6.998286647196199084e+00	-6.439051459029022581e-03	-3.086941684714467147e-03
2.968914248550299089e+04	7.062501239719583879e+00	-6.325662773218095579e-03	-3.086940854631208507e-03
2.968914605693156045e+04	7.126869455100186990e+00	-6.214981829957643041e-03	-3.086940024548312424e-03
